Price_amazon,Title_amazon,Capa_amazon
"R$19,90",Como organizar sua vida financeira,"https://images-na.ssl-images-amazon.com/images/I/71O719XRaoL._AC_UL300_SR300,200_.jpg"
"R$22,41",Trinta segundos sem pensar no medo: Memórias de um leitor,"https://images-na.ssl-images-amazon.com/images/I/91IQl+Ah8oL._AC_UL300_SR300,200_.jpg"
"R$100,75",Domain-driven design: atacando as complexidades no coração do software,"https://images-na.ssl-images-amazon.com/images/I/61aIS4n2jZL._AC_UL300_SR300,200_.jpg"
"R$51,73",A era da IA: e nosso futuro como humanos,"https://images-na.ssl-images-amazon.com/images/I/61BML5IHdlL._AC_UL300_SR300,200_.jpg"
"R$63,90","A próxima onda: Inteligência artificial, poder e o maior dilema do século XXI","https://images-na.ssl-images-amazon.com/images/I/71Rm9nQEysL._AC_UL300_SR300,200_.jpg"
"R$148,50",Padrões de Projetos: Soluções Reutilizáveis de Software Orientados a Objetos,"https://images-na.ssl-images-amazon.com/images/I/81RXMnEXrdL._AC_UL300_SR300,200_.jpg"
"R$29,99",Investimentos inteligentes - Edição revista e atualizada: Estratégias para multiplicar seu patrimônio com segurança e eficiência,"https://images-na.ssl-images-amazon.com/images/I/81wLnyq1tDL._AC_UL300_SR300,200_.jpg"
"R$13,66",Pense como um imperador: Conheça a mente de um dos maiores líderes da história e descubra como um mindset resiliente pode vencer qualquer adversidade,"https://images-na.ssl-images-amazon.com/images/I/71eRK5OwAKL._AC_UL300_SR300,200_.jpg"
"R$9,10",Análise de dados com Excel Para Leigos,"https://images-na.ssl-images-amazon.com/images/I/81zxF0a5ZbL._AC_UL300_SR300,200_.jpg"
"R$117,00",O Investidor Completo,"https://images-na.ssl-images-amazon.com/images/I/61qVsMk0-jL._AC_UL300_SR300,200_.jpg"
"R$126,75",Curso Intensivo de Python: uma Introdução Prática e Baseada em Projetos à Programação,"https://images-na.ssl-images-amazon.com/images/I/71+zivhMZKL._AC_UL300_SR300,200_.jpg"
"R$65,90",Engenharia de Software Moderna,"https://images-na.ssl-images-amazon.com/images/I/61E6iqKxU+L._AC_UL300_SR300,200_.jpg"
"R$74,99","Mãos à obra aprendizado de máquina com Scikit-Learn, Keras & TensorFlow: conceitos, ferramentas e técnicas para a construção de sistemas inteligentes","https://images-na.ssl-images-amazon.com/images/I/61rjs82wXDL._AC_UL300_SR300,200_.jpg"
"R$51,73",A guerra dos chips: A batalha pela tecnologia que move o mundo,"https://images-na.ssl-images-amazon.com/images/I/91d78m5xmOL._AC_UL300_SR300,200_.jpg"
"R$6,39",Scrum e Métodos Ágeis: Um Guia Prático,"https://images-na.ssl-images-amazon.com/images/I/711y7Gc-KDL._AC_UL300_SR300,200_.jpg"
"R$31,34",Brevidade inteligente: O poder de dizer muito com poucas palavras,"https://images-na.ssl-images-amazon.com/images/I/71NwINe+UdL._AC_UL300_SR300,200_.jpg"
